symbol,direction,confluence,quality_factors,regime,signal_time,fill_time,fill_price,exit_time,exit_price,exit_reason,lot_size,risk_usd,commission,realized_pnl
GBP_NZD,bullish,15,5,True,2019-01-16 00:00:00,2019-01-16 00:00:00,1.8878669399999999,2019-02-01 09:45:00,1.8878669399999999,SL,0.11,230.25954847273098,0.44,27.19114581672772
USD_CHF,bearish,15,5,True,2019-01-09 00:00:00,2019-01-15 16:00:00,0.98775756,2019-02-05 08:15:00,0.9996843246863584,SL,0.19,232.36123962939558,0.76,-233.12123962939557
AUD_CAD,bullish,15,5,True,2019-01-31 00:00:00,2019-02-01 15:15:00,0.94950264,2019-02-06 03:30:00,0.9414841535966948,SL,0.38,225.97491954109105,1.52,-227.49491954109106
EUR_CAD,bearish,15,5,True,2019-01-28 00:00:00,2019-01-29 20:30:00,1.51877256,2019-02-07 13:00:00,1.5051196688969617,SL,0.25,229.65729121560165,1.0,263.1058848979413
GBP_JPY,bearish,15,5,True,2018-12-11 00:00:00,2019-01-25 16:00:00,144.482436,2019-02-07 13:45:00,142.29042702421245,SL,0.17,228.256769171447,0.68,261.81528454716386
NZD_USD,bullish,15,5,True,2019-01-30 00:00:00,2019-02-06 21:45:00,0.680739,2019-02-12 01:00:00,0.6721705599387183,SL,0.26,222.82149360660807,1.04,-223.86149360660806
NZD_CAD,bullish,15,5,True,2018-12-11 00:00:00,2019-01-02 17:45:00,0.90438568,2019-02-13 00:45:00,0.8903154057379464,SL,0.22,233.61766047467802,0.88,-234.497660474678
NZD_JPY,bearish,15,5,True,2019-01-22 00:00:00,2019-01-30 19:00:00,75.255532,2019-02-13 01:00:00,75.255532,SL,0.14,225.73508564859057,0.56,26.52821027783087
GBP_AUD,bullish,15,5,True,2019-01-30 00:00:00,2019-01-30 19:00:00,1.80934,2019-02-13 04:00:00,1.80934,SL,0.09,225.73508564859057,0.36,26.72821027783087
USD_JPY,bullish,14,4,False,2019-01-29 00:00:00,2019-01-31 03:00:00,108.77654799999999,2019-02-13 13:30:00,110.80485529479708,TP3,0.35,225.73508564859057,1.4,371.06289132017474
GBP_NZD,bearish,15,5,True,2019-02-04 00:00:00,2019-02-08 01:15:00,1.9245707399999998,2019-02-15 14:00:00,1.867431892572309,TP3,0.14,226.3029113408451,0.56,372.8398037123943
XAG_USD,bullish,15,5,True,2019-02-12 00:00:00,2019-02-14 12:45:00,15.496221935272217,2019-02-20 16:15:00,16.123412679998825,TP3,0.15,227.21921987669998,0.6,374.3117127965547
NZD_CHF,bullish,14,4,False,2019-02-12 00:00:00,2019-02-12 11:15:00,0.68196288,2019-02-21 06:00:00,0.68196288,SL,0.21,225.99567835198033,0.84,26.27948140223764
AUD_CAD,bearish,15,5,True,2019-02-13 00:00:00,2019-02-21 00:30:00,0.9486898,2019-02-21 20:30:00,0.9383953092208004,SL,0.33,234.193928348841,1.32,268.00301760116764
AUD_NZD,bearish,15,5,True,2019-02-19 00:00:00,2019-02-21 00:30:00,1.0478729,2019-02-22 03:00:00,1.0478729,SL,0.46,234.193928348841,1.84,26.263271401860923
GBP_USD,bullish,15,5,True,2019-01-22 00:00:00,2019-02-14 08:30:00,1.28174546,2019-02-22 12:15:00,1.299790081173732,SL,0.14,227.21921987669998,0.56,260.74210285820453
GBP_AUD,bullish,15,5,True,2019-02-14 00:00:00,2019-02-14 12:15:00,1.80144,2019-02-22 13:00:00,1.8247833809772613,SL,0.16,227.21921987669998,0.64,260.6621028582051
NZD_USD,bearish,15,5,True,2019-02-13 00:00:00,2019-02-13 02:30:00,0.6838259600000001,2019-02-22 15:30:00,0.6838259600000001,SL,0.25,223.88015940770822,1.0,25.86561912892499
EUR_CAD,bearish,15,5,True,2019-02-08 00:00:00,2019-02-08 00:00:00,1.50987,2019-02-25 15:15:00,1.4960306274947386,SL,0.22,226.0591174483446,0.88,254.31107296700532
GBP_JPY,bearish,15,5,True,2019-02-14 00:00:00,2019-02-15 00:15:00,139.606016,2019-02-25 17:30:00,145.49164177724558,SL,0.06,227.21921987669998,0.24,-227.4592198767
GBP_NZD,bearish,15,5,True,2019-02-18 00:00:00,2019-02-19 16:00:00,1.90143928,2019-02-27 08:15:00,1.928989299960813,SL,0.14,230.0889326612715,0.56,-230.64893266127152
NZD_CHF,bullish,15,5,True,2019-02-22 00:00:00,2019-02-22 00:00:00,0.68206,2019-02-28 08:30:00,0.68206,SL,0.31,237.83291197973563,1.24,27.29994943756828
NZD_CAD,bullish,15,5,True,2019-02-20 00:00:00,2019-02-21 17:00:00,0.89723564,2019-02-28 15:15:00,0.89723564,SL,0.29,236.68553203440888,1.16,27.242263844129067
USD_JPY,bullish,15,5,True,2019-02-26 00:00:00,2019-02-26 19:15:00,110.585,2019-03-01 07:45:00,111.83881502396832,TP3,0.6,240.79781557917912,2.4,394.916395705647
