symbol,direction,fill_time,fill_price,exit_time,exit_price,lot_size,risk_usd,commission,realized_r,realized_pnl
EUR_CHF,bullish,2024-04-12T13:00:00,0.96842096,2024-04-15T20:00:00,0.96842096,0.67,603.9171903927753,2.68,0.20556230549049778,124.1426099824828
GBP_NZD,bullish,2024-04-04T03:00:00,2.0995405,2024-04-16T14:00:00,2.1151505716402186,0.66,561.9625790478789,2.64,0.9503021782972201,534.034262990723
EUR_AUD,bullish,2024-04-16T01:00:00,1.65558,2024-04-17T00:00:00,1.65558,1.07,613.645561353508,4.28,0.20302528972822734,124.58556788423667
EUR_GBP,bearish,2024-04-10T11:00:00,0.85436148,2024-04-17T11:00:00,0.85436148,1.26,574.8822306718853,5.04,0.20123298698220402,115.6852684410959
AUD_JPY,bullish,2024-04-16T01:00:00,99.025762,2024-04-17T16:00:00,99.025762,1.2,615.4658714790652,4.8,0.20220102978502313,124.44783301060367
CAD_JPY,bullish,2024-04-08T01:00:00,111.842,2024-04-19T01:00:00,111.842,0.88,574.7636415903892,3.52,0.20387574344427903,117.18036473398172
NZD_JPY,bullish,2024-04-12T12:00:00,91.1585,2024-04-19T01:00:00,90.35665795626306,1.13,604.3563667849689,4.52,-1.0074790309963064,-608.8763667849689
NZD_CHF,bullish,2024-04-17T00:00:00,0.53866,2024-04-19T01:00:00,0.5363182925112278,2.66,622.8941920134241,10.64,-1.0170815527523343,-633.5341920134241
AUD_CHF,bullish,2024-04-19T01:00:00,0.58375484,2024-04-19T01:00:00,0.5780654105209134,1.11,631.5266721786095,4.44,-1.00703058191459,-635.9666721786095
EUR_GBP,bearish,2024-04-18T00:00:00,0.85682,2024-04-19T02:00:00,0.85682,1.75,627.9129625007402,7.0,0.19885195812470308,124.86172212515544
EUR_CHF,bullish,2024-04-19T01:00:00,0.96842096,2024-04-19T02:00:00,0.9594914039815158,0.71,633.9984773123796,2.84,-1.0044795060266378,-636.8384773123796
AUD_JPY,bullish,2024-04-19T01:00:00,98.076708,2024-04-19T02:00:00,98.076708,0.49,419.16820690070887,1.96,0.2053240728477666,86.06532344914885
NZD_CAD,bearish,2024-04-05T13:00:00,0.81779676,2024-04-19T03:00:00,0.8088220728780304,0.94,575.1958564535071,3.76,0.9484630961648717,545.5520429130984
AUD_CAD,bearish,2024-04-16T00:00:00,0.88626,2024-04-19T03:00:00,0.88062401036898,1.53,613.3218119632214,6.12,0.9372651519660782,574.8451612938192
GBP_AUD,bullish,2024-04-16T00:00:00,1.93966488,2024-04-22T01:00:00,1.9212717274098945,0.51,609.7330083619987,2.04,-1.0033457266902448,-611.7730083619987
GBP_CAD,bullish,2024-04-19T14:00:00,1.70820348,2024-04-22T06:00:00,1.6988534973375875,0.9,631.1238297128508,3.6,-1.0057041103988071,-634.7238297128508
CAD_CHF,bullish,2024-04-19T02:00:00,0.65529274,2024-04-22T07:00:00,0.6627466850513553,0.91,616.6445451575687,3.64,0.9490970855437142,585.2555406254777
GBP_NZD,bullish,2024-04-22T00:00:00,2.098,2024-04-22T10:00:00,2.085952265142755,0.87,628.891759548176,3.48,-1.0055335436458894,-632.371759548176
