ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,partial
1000862_partial_1447443000,AUD_NZD,sell,0.03,1.08578536,1.09078,2015-11-04 13:15:00+00:00,2015-11-13 19:30:00+00:00,-14.983920000000149,0.0,1.1002712053232575,0,True
1000862,AUD_NZD,sell,0.07,1.08578536,1.1003212053232576,2015-11-04 13:15:00+00:00,2015-11-17 13:30:00+00:00,-101.75091726280306,0.0,1.1002712053232575,0,
1000866,EUR_GBP,sell,0.009999999999999997,0.71567,0.6999737269974744,2015-11-05 19:15:00+00:00,2015-11-17 16:00:00+00:00,15.696273002525624,0.0,0.7138233796467617,0,
1000851_partial_1448047800,AUD_USD,sell,0.01,0.71207056,0.7241,2015-10-28 00:30:00+00:00,2015-11-20 19:30:00+00:00,-12.029439999999946,0.0,0.7400101888274682,0,True
1000877_partial_1448652600,NZD_CAD,buy,0.03,0.86094448,0.87393,2015-11-17 05:30:00+00:00,2015-11-27 19:30:00+00:00,38.95655999999991,0.0,0.8439570093383332,0,True
1000851,AUD_USD,sell,0.009999999999999997,0.71207056,0.734,2015-10-28 00:30:00+00:00,2015-12-04 19:30:00+00:00,-21.92943999999996,0.0,0.7400101888274682,0,
1000902_partial_1449257400,EUR_AUD,sell,0.01,1.48287,1.48119,2015-12-04 08:00:00+00:00,2015-12-04 19:30:00+00:00,1.679999999999904,0.0,1.508523917309169,0,True
1000902,EUR_AUD,sell,0.019999999999999997,1.48287,1.508573917309169,2015-12-04 08:00:00+00:00,2015-12-08 12:30:00+00:00,-51.40783461833819,0.0,1.508523917309169,0,
1000907,AUD_NZD,buy,0.04,1.08470004,1.071307074621056,2015-12-08 14:30:00+00:00,2015-12-09 20:15:00+00:00,-53.57186151577587,0.0,1.0713570746210561,0,
1000844,GBP_CAD,sell,0.009999999999999997,2.0290948,2.0653742414240015,2015-10-22 08:00:00+00:00,2015-12-10 17:15:00+00:00,-36.279441424001284,0.0,2.0653242414240016,0,
1000912_partial_1449824400,AUD_USD,sell,0.01,0.7323602,0.7232582028008282,2015-12-10 00:30:00+00:00,2015-12-11 09:00:00+00:00,9.101997199171818,0.0,0.742473530221302,0,True
1000913_partial_1449862200,EUR_AUD,buy,0.01,1.50282,1.52787,2015-12-10 00:30:00+00:00,2015-12-11 19:30:00+00:00,25.050000000000015,0.0,1.471160559407181,0,True
1000913_partial_1450049400,EUR_AUD,buy,0.01,1.50282,1.531313496533537,2015-12-10 00:30:00+00:00,2015-12-13 23:30:00+00:00,28.493496533537055,0.0,1.471160559407181,0,True
1000913,EUR_AUD,buy,0.009999999999999997,1.50282,1.5091018881185638,2015-12-10 00:30:00+00:00,2015-12-16 21:00:00+00:00,6.2818881185637805,0.0,1.509151888118564,0,
1000912_partial_1450361700,AUD_USD,sell,0.02,0.7323602,0.7151675386237866,2015-12-10 00:30:00+00:00,2015-12-17 14:15:00+00:00,34.385322752426895,0.0,0.7303375339557396,0,True
1000912,AUD_USD,sell,0.029999999999999995,0.7323602,0.7253308688450886,2015-12-10 00:30:00+00:00,2015-12-24 02:00:00+00:00,21.087993464734332,0.0,0.7252808688450886,0,
1000934_partial_1452281400,GBP_CAD,buy,0.01,2.04682116,2.05286,2015-12-29 15:45:00+00:00,2016-01-08 19:30:00+00:00,6.03883999999999,0.0,2.010200581843413,0,True
1000942_partial_1452800700,AUD_CAD,buy,0.01,0.99099208,1.0038471131407076,2016-01-11 15:00:00+00:00,2016-01-14 19:45:00+00:00,12.855033140707574,0.0,0.9766031542881027,0,True
1000942,AUD_CAD,buy,0.12000000000000001,0.99099208,0.9937598651423796,2016-01-11 15:00:00+00:00,2016-01-15 17:15:00+00:00,33.21342170855424,0.0,0.9938098651423796,0,
1000934_partial_1452886200,GBP_CAD,buy,0.01,2.04682116,2.0743,2015-12-29 15:45:00+00:00,2016-01-15 19:30:00+00:00,27.47884000000012,0.0,2.010200581843413,0,True
1000949_partial_1453239900,AUD_NZD,buy,0.02,1.06388,1.0735190478480807,2016-01-18 17:45:00+00:00,2016-01-19 21:45:00+00:00,19.278095696161564,0.0,1.0531699468354656,0,True
1000949_partial_1453250700,AUD_NZD,buy,0.07,1.06388,1.0820870903797082,2016-01-18 17:45:00+00:00,2016-01-20 00:45:00+00:00,127.44963265795772,0.0,1.0660220106329068,0,True
1000949,AUD_NZD,buy,0.11000000000000001,1.06388,1.0713270372151737,2016-01-18 17:45:00+00:00,2016-01-20 23:15:00+00:00,81.91740936691194,0.0,1.0713770372151739,0,
1000934,GBP_CAD,buy,0.009999999999999997,2.04682116,2.02181,2015-12-29 15:45:00+00:00,2016-01-22 19:30:00+00:00,-25.011160000000025,0.0,2.010200581843413,0,
1000956_partial_1454095800,AUD_CAD,buy,0.03,0.99018488,0.99086,2016-01-25 01:30:00+00:00,2016-01-29 19:30:00+00:00,2.025359999999754,0.0,0.9772827333476201,0,True
1000959_partial_1454095800,AUD_NZD,sell,0.02,1.08770992,1.09242,2016-01-27 20:00:00+00:00,2016-01-29 19:30:00+00:00,-9.420159999999898,0.0,1.102929171890321,0,True
1000956,AUD_CAD,buy,0.07,0.99018488,0.98248,2016-01-25 01:30:00+00:00,2016-02-05 19:30:00+00:00,-53.934160000000176,0.0,0.9772827333476201,0,
1000959_partial_1455910200,AUD_NZD,sell,0.02,1.08770992,1.0774,2016-01-27 20:00:00+00:00,2016-02-19 19:30:00+00:00,20.619840000000167,0.0,1.102929171890321,0,True
1000984,AUD_CAD,buy,0.09,0.98525,0.9662214730529181,2016-02-22 00:00:00+00:00,2016-02-26 16:15:00+00:00,-171.2567425237371,0.0,0.966271473052918,0,
1000959_partial_1456515000,AUD_NZD,sell,0.01,1.08770992,1.07462,2016-01-27 20:00:00+00:00,2016-02-26 19:30:00+00:00,13.089920000000088,0.0,1.102929171890321,0,True
1000988,EUR_GBP,buy,0.07,0.78126,0.7699446886767424,2016-02-29 15:45:00+00:00,2016-03-02 15:45:00+00:00,-79.20717926280308,0.0,0.7699946886767424,0,
1000936,EUR_AUD,buy,0.06,1.4971266399999998,1.48078,2015-12-29 15:30:00+00:00,2016-03-04 19:30:00+00:00,-98.07983999999914,0.0,1.4713464951455202,0,
1000959_partial_1457119800,AUD_NZD,sell,0.01,1.08770992,1.09118,2016-01-27 20:00:00+00:00,2016-03-04 19:30:00+00:00,-3.470080000000042,0.0,1.102929171890321,0,True
1000959,AUD_NZD,sell,0.01999999999999999,1.08770992,1.102979171890321,2016-01-27 20:00:00+00:00,2016-03-08 13:30:00+00:00,-30.538503780642024,0.0,1.102929171890321,0,
1001005_partial_1457724600,EUR_GBP,buy,0.01,0.77512,0.77556,2016-03-11 11:15:00+00:00,2016-03-11 19:30:00+00:00,0.43999999999999595,0.0,0.7617422258673046,0,True
1001005,EUR_GBP,buy,0.01,0.77512,0.7871599967194259,2016-03-11 11:15:00+00:00,2016-03-16 12:15:00+00:00,12.039996719425906,0.0,0.7617422258673046,0,
1001016,EUR_GBP,buy,0.01,0.78152,0.7916940036834528,2016-03-17 13:00:00+00:00,2016-03-23 13:45:00+00:00,10.174003683452781,0.0,0.7702155514628303,0,
