symbol,direction,fill_time,fill_price,exit_time,exit_price,lot_size,risk_usd,commission,realized_r,realized_pnl,tp1_hit,tp2_hit,tp3_hit
XAG_USD,bullish,2024-09-30T00:00:00+00:00,31.668,2024-09-30T01:00:00+00:00,31.668,0.01,1402.5131435220778,0.04,0.20997147976816843,294.4877601396363,True,False,False
XAU_USD,bullish,2024-09-25T00:00:00+00:00,2660.905,2024-09-30T10:00:00+00:00,2636.9618887230654,0.09,1372.0845878741254,0.36,0.4412187731269769,605.3894784882553,True,True,False
ETH_USD,bullish,2024-09-30T00:00:00+00:00,2659.292724609375,2024-10-01T00:00:00+00:00,2636.646679612226,0.01,1402.5131435220778,0.04,0.5277329888055218,740.1524530699339,True,True,False
XAG_USD,bullish,2024-10-01T00:00:00+00:00,31.2765,2024-10-01T01:00:00+00:00,31.2765,0.01,1410.768137160203,0.04,0.20997164665195758,296.22130880364256,True,False,False
XAU_USD,bullish,2024-10-01T00:00:00+00:00,2636.5,2024-10-01T01:00:00+00:00,2636.5,0.14,1410.768137160203,0.56,0.20960305312740668,295.7013088036426,True,False,False
XAG_USD,bullish,2024-10-02T00:00:00+00:00,31.335,2024-10-02T01:00:00+00:00,31.335,0.01,1415.5619203700292,0.04,0.20997174267022556,297.2280032777061,True,False,False
XAU_USD,bullish,2024-10-02T00:00:00+00:00,2657.51,2024-10-02T01:00:00+00:00,2657.51,0.12,1415.5619203700292,0.48,0.20966091204270698,296.7880032777061,True,False,False
XAG_USD,bullish,2024-10-03T00:00:00+00:00,31.7785,2024-10-03T01:00:00+00:00,31.7785,0.01,1428.169897080526,0.04,0.2099719921277701,299.8756783869104,True,False,False
XAU_USD,bullish,2024-10-03T00:00:00+00:00,2657.925,2024-10-03T01:00:00+00:00,2657.925,0.12,1428.169897080526,0.48,0.20966390553324135,299.4356783869104,True,False,False
ETH_USD,bearish,2024-10-02T00:00:00+00:00,2448.877197265625,2024-10-04T00:00:00+00:00,2435.1393882504954,0.01,1415.5619203700292,0.04,0.6017540574397133,851.8201291398175,True,True,False
XAU_USD,bullish,2024-10-04T00:00:00+00:00,2657.375,2024-10-04T01:00:00+00:00,2657.375,0.12,1433.5636992914901,0.48,0.2096651700930783,300.56837685121286,True,False,False
XAG_USD,bullish,2024-10-04T00:00:00+00:00,32.052,2024-10-04T12:00:00+00:00,31.72653104082946,0.01,1433.5636992914901,0.04,0.502247366965209,720.0035933460556,True,True,False
XAU_USD,bullish,2024-10-07T00:00:00+00:00,2649.385,2024-10-07T01:00:00+00:00,2649.385,0.13,1443.1533955340253,0.52,0.20963967794303143,302.5422130621453,True,False,False
XAG_USD,bullish,2024-10-07T00:00:00+00:00,32.1745,2024-10-07T12:00:00+00:00,31.75204367301628,0.01,1443.1533955340253,0.04,0.4832617287268011,697.4208047437261,True,True,False
ETH_USD,bearish,2024-10-07T00:00:00+00:00,2439.94482421875,2024-10-08T00:00:00+00:00,2439.94482421875,0.01,1443.1533955340253,0.04,0.2099722829186947,303.0222130621453,True,False,False
XAG_USD,bullish,2024-10-08T00:00:00+00:00,31.6755,2024-10-08T01:00:00+00:00,31.6755,0.01,1454.8806226118375,0.04,0.20997250633531137,305.4849307484858,True,False,False
XAU_USD,bullish,2024-10-08T00:00:00+00:00,2643.605,2024-10-08T01:00:00+00:00,2643.605,0.14,1454.8806226118375,0.56,0.20961508869435988,304.9649307484858,True,False,False
