trial,breached,objective,maximin,avg_net,worst_tdd,n_survived,fail_window,RISK_CALM_MULT,RISK_VOLATILE_MULT,VOL_REGIME_DD_OFF,CFG_MAX_CUM_RISK,CFG_DAILY_HALT_PCT,CFG_TDD_CAUTION_PCT,CFG_RISK_CAUTIOUS,CFG_TDD_WARNING_PCT,CFG_RISK_CONSERVATIVE,CFG_TDD_EMERGENCY_PCT,CFG_RISK_ULTRASAFE,TDD_WALL_SAFETY,net_w0,net_w1,net_w2,net_w3,net_w4
9,False,30986.0,30986,39431,5.18,5,,1.0,1.35,3.5,3.5,2.0,5.0,0.2,7.5,0.15,9.0,0.15,3.0,33980,30986,47193,49911,35087
12,True,-997000000.0,,,,3,3,0.75,1.2000000000000002,3.5,4.5,3.5,3.5,0.30000000000000004,7.0,0.2,8.0,0.15000000000000002,3.5,43314,41137,77064,,
13,True,-999000000.0,,,,1,1,1.5,1.8,5.0,5.0,1.5,4.5,0.65,6.0,0.5,7.5,0.4,2.0,82052,,,,
2,True,-1000000000.0,,,,0,0,1.2,0.8,3.0,3.5,2.5,5.5,0.45,7.5,0.25,8.5,0.25,4.5,,,,,
3,False,-1514.0,-1514,16740,7.18,5,,0.65,1.3,5.0,4.0,1.75,3.0,0.30000000000000004,7.5,0.3,9.0,0.15000000000000002,2.0,-1514,12821,3016,18694,50681
1,True,-997000000.0,,,,3,3,0.8,1.2,3.0,3.5,2.5,5.5,0.45,7.5,0.25,8.5,0.25,4.5,31325,32024,49395,,
0,False,2783.0,2783,44746,7.8,5,,1.0,1.0,3.0,3.5,2.5,5.5,0.45,7.5,0.25,8.5,0.25,4.5,150896,13339,2783,31394,25316
4,False,4093.0,4093,80738,7.76,5,,0.8500000000000001,0.8500000000000001,4.0,5.0,3.5,4.0,0.8,6.5,0.55,7.5,0.2,4.0,285802,32237,47334,4093,34222
7,True,-997000000.0,,,,3,3,0.8500000000000001,1.2000000000000002,4.5,2.5,2.75,4.5,0.8,5.5,0.15,8.0,0.1,3.5,28676,13734,-12,,
5,False,1963.0,1963,34805,6.52,5,,0.8,0.7000000000000001,5.0,2.5,3.5,5.5,0.45,7.0,0.35,8.0,0.1,3.5,109417,12614,1963,15665,34365
