trade_id,symbol,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,lot_size,risk_usd,commission,gross_pnl,net_pnl,final_r,risk_pct_used,lot_multiplier,tp1_hit,tp2_hit,tp3_hit
EUR_NZD_474,EUR_NZD,bullish,2023-09-07 21:00:00,2023-09-08 12:00:00,1.82032,1.81216,SAFETY_DAILY_DD_4.6%,1.31,1549.46,5.24,-1068.9580991295325,-1074.1980991295325,-0.6898907355656373,1.188,1.98,False,False,False
BTC_USD_475,BTC_USD,bullish,2023-09-10 21:00:00,2023-09-11 14:00:00,25895.677734375,25136.6,SL,1.62,1260.58,0.0,-1260.58,-1260.58,-1.0,0.99,1.6500000000000001,False,False,False
BTC_USD_476,BTC_USD,bullish,2023-09-10 21:00:00,2023-09-11 14:00:00,25832.2265625,25136.6,SL,1.79,1265.24,0.0,-1265.24,-1265.24,-1.0,0.99,1.6500000000000001,False,False,False
EUR_GBP_488,EUR_GBP,bearish,2023-09-13 21:00:00,2023-09-14 10:00:00,0.85764,0.86136,SL,3.97,1236.42,15.88,-1236.42,-1252.3000000000002,-1.0,0.99,1.6500000000000001,False,False,False
CAD_CHF_478,CAD_CHF,bearish,2023-09-11 21:00:00,2023-09-14 16:00:00,0.65767862,0.66396,SL,1.86,990.35,7.44,-990.35,-997.7900000000001,-1.0,0.792,1.32,False,False,False
EUR_JPY_479,EUR_JPY,bullish,2023-09-11 21:00:00,2023-09-14 16:00:00,158.267294,156.793,SL,0.01,1492.02,0.04,-1492.02,-1492.06,-1.0,0.792,1.32,False,False,False
EUR_JPY_486,EUR_JPY,bullish,2023-09-13 21:00:00,2023-09-14 16:00:00,158.162,156.793,SL,0.01,1395.71,0.04,-1395.71,-1395.75,-1.0,0.99,1.6500000000000001,False,False,False
BTC_USD_483,BTC_USD,bullish,2023-09-13 00:00:00,2023-09-18 17:00:00,25968.60241796875,26768.5,TP2+Trail,1.42,1237.4,0.0,1297.7232500000002,1297.7232500000002,1.04875,0.99,1.6500000000000001,True,True,False
EUR_GBP_489,EUR_GBP,bearish,2023-09-13 21:00:00,2023-09-20 06:00:00,0.85776,0.86458,SL,1.81,1237.56,7.24,-1237.56,-1244.8,-1.0,0.99,1.6500000000000001,False,False,False
BTC_USD_480,BTC_USD,bullish,2023-09-12 00:00:00,2023-09-21 13:00:00,25833.34375,26413.0,TP2+Trail,1.68,1240.27,0.0,1300.7331625000002,1300.7331625000002,1.04875,0.99,1.6500000000000001,True,True,False
