trade_id,symbol,direction,entry_time,entry_price,stop_loss,risk,exit_time,exit_reason,rr,pnl_dollars,is_winner,tp1_hit,tp2_hit,tp3_hit,hours_in_trade
164,GBP_USD,bearish,2023-02-13 22:00:00,1.22629526,1.2475081640813186,0.021212904081318484,2023-02-14 13:00:00,TP1+Trail,0.21,75.6,True,True,False,False,15
127,GBP_JPY,bullish,2023-02-01 22:00:00,158.31538,155.20584325061114,3.109536749388866,2023-02-15 00:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,314
130,GBP_CHF,bearish,2023-02-01 22:00:00,1.12275204,1.1460387445825526,0.023286704582552664,2023-02-15 00:00:00,TP1+Trail,0.21,75.6,True,True,False,False,314
53,NZD_CHF,bullish,2023-01-11 22:00:00,0.59413382,0.579064895770485,0.015068924229515002,2023-02-15 10:00:00,SL,-1.0,-360.0,False,False,False,False,828
154,AUD_USD,bullish,2023-02-06 22:00:00,0.69840496,0.6868102400397638,0.0115947199602362,2023-02-15 14:00:00,SL,-1.0,-360.0,False,False,False,False,208
70,NZD_CAD,bullish,2023-01-17 22:00:00,0.8623516800000001,0.8396668689831086,0.02268481101689146,2023-02-15 15:00:00,SL,-1.0,-360.0,False,False,False,False,689
158,AUD_NZD,bullish,2023-02-08 22:00:00,1.09632,1.0878490604638409,0.008470939536159072,2023-02-16 02:00:00,TP1+Trail,0.21,75.6,True,True,False,False,172
166,AUD_USD,bullish,2023-02-13 22:00:00,0.69861,0.6854856121312175,0.01312438786878245,2023-02-16 15:00:00,SL,-1.0,-360.0,False,False,False,False,65
167,ETH_USD,bearish,2023-02-15 00:00:00,1608.9225998535155,1727.932293328248,119.00969347473256,2023-02-16 15:00:00,SL,-1.0,-360.0,False,False,False,False,39
170,EUR_AUD,bearish,2023-02-15 22:00:00,1.55587844,1.5742568720456287,0.018378432045628612,2023-02-16 15:00:00,TP1+Trail,0.21,75.6,True,True,False,False,17
151,CHF_JPY,bullish,2023-02-06 22:00:00,142.154,139.74527479060714,2.4087252093928555,2023-02-16 16:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,234
35,EUR_NZD,bearish,2023-01-08 22:00:00,1.66802728,1.714961242566224,0.04693396256622395,2023-02-17 08:00:00,SL,-1.0,-360.0,False,False,False,False,946
168,USD_CAD,bullish,2023-02-15 22:00:00,1.34552,1.3320466477881718,0.013473352211828216,2023-02-20 11:00:00,TP1+Trail,0.21,75.6,True,True,False,False,109
177,EUR_GBP,bullish,2023-02-20 22:00:00,0.88176,0.871216442460457,0.010543557539542947,2023-02-21 09:00:00,TP1+Trail,0.21,75.6,True,True,False,False,11
165,EUR_GBP,bullish,2023-02-13 22:00:00,0.88104228,0.871018550335861,0.010023729664139003,2023-02-21 10:00:00,TP1+Trail,0.21,75.6,True,True,False,False,180
178,EUR_GBP,bullish,2023-02-20 22:00:00,0.88104228,0.871103125141853,0.009939154858147004,2023-02-21 10:00:00,TP1+Trail,0.21,75.6,True,True,False,False,12
156,GBP_NZD,bearish,2023-02-08 22:00:00,1.91534,1.946478471837003,0.031138471837002912,2023-02-21 15:00:00,SL,-1.0,-360.0,False,False,False,False,305
