date,start_balance,end_balance,hwm,min_equity_allowed,lowest_equity,highest_equity,max_open_trades,trades_opened,trades_closed,realized_pnl,daily_dd_breached
2024-07-29,93076.80000000003,93553.80000000003,94534.09780821517,89807.3929178044,94262.991785653,95160.18275494312,12,3,1,477.00000000000006,False
2024-07-30,93553.80000000003,93805.80000000003,94804.24887337003,90064.03642970153,94787.42496718837,95729.00151277913,13,2,2,251.99999999999997,False
2024-07-31,93805.80000000003,93445.80000000003,95148.06831103367,90390.66489548198,94461.09729060429,95841.94325596656,15,5,1,-360.0,False
2024-08-01,93445.80000000003,94516.80000000003,95237.7245897501,90475.8383602626,93292.200374199,95288.53349487987,17,2,4,1071.000000000001,False
2024-08-02,94516.80000000003,93193.80000000003,94516.80000000003,89790.96000000004,92891.64587721416,94719.10729975678,17,4,6,-1323.0000000000007,False
2024-08-05,93193.80000000003,96462.60000000003,94719.10729975678,89983.15193476895,95103.24323857122,97719.80027496567,17,6,11,3268.799999999997,False
2024-08-06,96462.60000000003,95742.60000000003,97386.20987889546,92516.8993849507,96728.27023537856,98163.37618651745,9,3,2,-720.0,False
2024-08-07,95742.60000000003,95868.60000000003,96930.73056540251,92084.19403713239,96474.48362610396,97516.71102753922,11,4,1,125.99999999999999,False
2024-08-08,95868.60000000003,95868.60000000003,96986.26915123353,92136.95569367186,96400.66730839729,97391.24647691392,14,4,0,0.0,False
2024-08-09,95868.60000000003,95994.60000000003,96407.98665034286,91587.58731782572,96178.78224768786,96698.50522043768,15,2,1,125.99999999999999,False
2024-08-12,95994.60000000003,95994.60000000003,96612.53314078874,91781.9064837493,95825.22990469767,96748.94007742257,18,3,0,0.0,False
2024-08-13,95994.60000000003,95994.60000000003,96720.89978477285,91884.85479553421,96065.36856728305,97417.65307050053,20,2,0,0.0,False
2024-08-14,95994.60000000003,96120.60000000003,97187.1354875896,92327.77871321012,97403.81738225881,99248.03401604842,27,7,1,125.99999999999999,False
2024-08-15,96120.60000000003,96849.60000000003,98960.97019722115,94012.9216873601,98765.01611473964,99818.00116993138,36,10,3,729.0,False
2024-08-16,96849.60000000003,96849.60000000003,98765.01611473964,93826.76530900266,98926.96842740683,100003.80811940799,35,2,0,0.0,False
2024-08-19,96849.60000000003,98298.60000000003,99931.10201672268,94934.54691588655,99289.69929762074,101543.5625388705,44,9,7,1448.9999999999984,False
2024-08-20,98298.60000000003,99369.60000000003,100221.32741918875,95210.26104822931,100255.74969412992,101586.8535147617,39,2,4,1070.9999999999989,False
2024-08-21,99369.60000000003,100323.60000000003,100613.55545923012,95582.87768626862,100591.28097310022,102544.39972784976,36,1,2,953.9999999999989,False
2024-08-22,100323.60000000003,100800.60000000003,102544.39972784976,97417.17974145726,102158.81636431407,103927.79892137967,34,0,1,476.99999999999886,False
2024-08-23,100800.60000000003,101277.60000000003,103927.79892137967,98731.40897531068,102021.74847998883,104019.07722317739,33,0,1,477.00000000000256,False
2024-08-26,101277.60000000003,101655.60000000003,102223.23360744864,97112.0719270762,102074.05370414545,102619.73643810832,36,4,3,377.99999999999994,False
2024-08-27,101655.60000000003,101655.60000000003,102458.67085523861,97335.73731247667,101513.30249740176,103124.7761026582,35,2,0,0.0,False
2024-08-28,101655.60000000003,100341.60000000003,101655.60000000003,96572.82000000004,100273.086512925,100844.10597574347,33,0,5,-1314.0,False
2024-08-29,100341.60000000003,98901.60000000003,100760.44545333035,95722.42318066383,99766.72069470235,100917.41788896231,31,2,4,-1440.0,False
2024-08-30,98901.60000000003,98901.60000000003,99834.68965309078,94842.95517043624,99309.41451221929,100121.34197989914,29,1,0,0.0,False
2024-09-02,98901.60000000003,98901.60000000003,100071.04580258415,95067.49351245494,99117.92186142996,101136.08998596335,30,1,0,0.0,False
2024-09-03,98901.60000000003,98559.60000000003,101136.08998596335,96079.28548666518,99782.70077020107,102871.88709240533,40,10,5,-342.0,False
2024-09-04,98559.60000000003,96291.60000000003,100017.76055394836,95016.87252625094,97374.45637609206,99961.74106088259,38,3,9,-2268.0,False
2024-09-05,96291.60000000003,95211.60000000003,97374.45637609206,92505.73355728746,96656.83434445303,97399.46195436642,32,3,3,-1080.0,False
2024-09-06,95211.60000000003,94842.60000000003,97206.78677901227,92346.44744006166,97150.65750607582,99180.38290070341,42,13,8,-369.0000000000019,False
2024-09-09,94842.60000000003,95445.60000000003,98558.302832831,93630.38769118945,97895.58005830355,99322.72443624304,40,6,2,602.999999999998,False
2024-09-10,95445.60000000003,95922.60000000003,97895.58005830355,93000.80105538837,97584.97218944131,99139.78108031288,43,5,1,477.0000000000028,False
2024-09-11,95922.60000000003,96399.60000000003,99139.78108031288,94182.79202629723,97058.85347477408,100298.6199096746,44,3,7,476.9999999999967,False
2024-09-12,96399.60000000003,97731.60000000003,97058.85347477408,92205.91080103538,97431.85158128137,99838.84009451253,44,6,5,1332.000000000002,False
2024-09-13,97731.60000000003,97371.60000000003,99838.84009451253,94846.8980897869,99768.90974505022,101434.51748183063,43,4,1,-360.0,False
2024-09-16,97371.60000000003,98325.60000000003,100128.92302490266,95122.47687365752,100475.45628706655,102702.18146318136,44,2,2,953.9999999999947,False
2024-09-17,98325.60000000003,97965.60000000003,102702.18146318136,97567.0723900223,101707.33667127011,103004.38905326789,42,0,1,-360.0,False
2024-09-18,97965.60000000003,98919.60000000003,101707.33667127011,96621.96983770661,101519.92222199202,103157.83880752136,45,4,2,953.9999999999989,False
2024-09-19,98919.60000000003,98208.60000000003,103065.26746638281,97912.00409306366,101902.09734065208,103493.92382866157,48,5,7,-710.9999999999991,False
2024-09-20,98208.60000000003,98685.60000000003,102668.05350921863,97534.6508337577,102477.76234443542,103283.13512833096,42,1,1,476.9999999999967,False
2024-09-23,98685.60000000003,99162.60000000003,102857.49643676718,97714.62161492882,101337.13116851698,103175.1093046943,45,4,7,477.00000000000136,False
2024-09-24,99162.60000000003,97362.60000000003,101526.8317824506,96450.49019332806,100720.08481614296,101887.67568859125,39,1,5,-1800.0,False
2024-09-25,97362.60000000003,97965.60000000003,101323.03368843356,96256.88200401187,100956.41103823893,101894.93016565741,37,3,2,602.9999999999995,False
2024-09-26,97965.60000000003,97722.60000000003,101085.38019770058,96031.11118781555,100616.84545027558,101554.67032467273,40,5,3,-243.0,False
2024-09-27,97722.60000000003,97128.60000000003,101296.20170608822,96231.3916207838,101120.87358967541,102013.14346507764,38,1,3,-594.0,False
2024-09-30,97128.60000000003,97020.60000000003,101766.5947912853,96678.26505172104,100625.96778426261,101846.73228467113,35,0,3,-108.00000000000001,False
2024-10-01,97020.60000000003,98001.60000000003,100826.38204895465,95785.06294650692,100592.01815199433,103049.89266602669,37,5,5,981.0,False
2024-10-02,98001.60000000003,98622.60000000003,100592.01815199433,95562.41724439462,100205.18628989621,101416.70838539104,35,3,6,621.0000000000025,False
2024-10-03,98622.60000000003,99126.60000000003,100577.93301918963,95549.03636823015,98860.51270706754,101671.63174670697,36,7,4,503.99999999999994,False
2024-10-04,99126.60000000003,97326.60000000003,99541.45660737065,94564.38377700212,98560.43063713935,100475.92187883884,35,3,5,-1800.0,False
2024-10-07,97326.60000000003,97218.60000000003,99077.00330886977,94123.15314342627,98696.3306686246,99434.75655504475,33,3,3,-108.00000000000001,False
2024-10-08,97218.60000000003,98172.60000000003,99006.389455157,94056.06998239915,98740.8391120085,99390.4128620424,33,3,2,954.0,False
2024-10-09,98172.60000000003,97092.60000000003,99390.4128620424,94420.89221894028,98725.2047628486,99567.40672037497,32,1,3,-1080.0,False
2024-10-10,97092.60000000003,97092.60000000003,99174.28398257251,94215.56978344388,99024.84928298662,99504.9437680101,29,0,0,0.0,False
