symbol,direction,confluence,quality_factors,regime,signal_time,fill_time,fill_price,exit_time,exit_price,exit_reason,lot_size,risk_usd,commission,realized_pnl
EUR_JPY,bullish,15,5,True,2018-09-14 00:00:00,2018-09-14 16:15:00,130.25571237,2018-10-08 08:30:00,130.25571237,SL,0.11,142.51346934781023,0.44,16.661616321737228
CHF_JPY,bullish,15,5,True,2018-09-28 00:00:00,2018-09-28 00:00:00,116.39909999999998,2018-10-08 08:45:00,114.22981262274138,SL,0.1,141.9088019642505,0.4,-142.3088019642505
EUR_JPY,bullish,15,5,True,2018-10-09 00:00:00,2018-10-09 09:45:00,129.57994251,2018-10-10 19:00:00,129.57994251,SL,0.17,141.15236081183664,0.68,16.258283297420398
USD_JPY,bullish,15,5,True,2018-10-02 00:00:00,2018-10-08 08:30:00,113.48090361,2018-10-11 01:45:00,112.01169675024786,SL,0.15,142.4371000295149,0.6,-143.0371000295149
XAG_USD,bearish,15,5,True,2018-10-03 00:00:00,2018-10-03 12:00:00,14.617618334913251,2018-10-11 16:00:00,14.617618334913251,SL,0.09,140.91621661817015,0.36,16.54994599418042
EUR_JPY,bullish,15,5,True,2018-10-11 00:00:00,2018-10-11 00:00:00,129.378,2018-10-12 16:45:00,129.378,SL,0.2,141.906241830959,0.8,16.228749019715078
GBP_CAD,bullish,15,5,True,2018-08-30 00:00:00,2018-10-01 00:00:00,1.6791483719999998,2018-10-15 00:00:00,1.7073209834103849,SL,0.07,140.63807163091624,0.28,161.45378237555352
USD_JPY,bullish,15,5,True,2018-10-12 00:00:00,2018-10-12 01:15:00,112.43058418999999,2018-10-15 07:30:00,111.71000863310951,SL,0.29,140.7689266718708,1.16,-141.92892667187078
GBP_NZD,bullish,15,5,True,2018-09-18 00:00:00,2018-09-21 14:15:00,1.9558828604999998,2018-10-15 13:45:00,2.008640042520647,SL,0.05,141.0362324691297,0.2,161.99166733949943
EUR_AUD,bullish,15,5,True,2018-09-11 00:00:00,2018-09-19 03:15:00,1.6124430848999998,2018-10-18 02:45:00,1.6124430848999998,SL,0.08,141.52119776880954,0.32,16.662543732257145
USD_CAD,bearish,15,5,True,2018-10-02 00:00:00,2018-10-04 15:30:00,1.2891017219,2018-10-19 12:30:00,1.31144738016632,SL,0.08,141.22139347186285,0.32,-141.54139347186285
EUR_JPY,bullish,15,5,True,2018-10-15 00:00:00,2018-10-15 00:00:00,129.57994251,2018-10-23 14:15:00,128.3175530777137,SL,0.17,140.7617266718708,0.68,-141.4417266718708
USD_CHF,bearish,15,5,True,2018-09-03 00:00:00,2018-09-28 19:45:00,0.9818702188,2018-10-25 13:30:00,1.0003410931165968,SL,0.08,140.63807163091624,0.32,-140.95807163091624
GBP_USD,bullish,14,4,False,2018-10-08 00:00:00,2018-10-08 06:00:00,1.3104899102999998,2018-10-25 13:30:00,1.284295657160614,SL,0.05,142.28491051556728,0.2,-142.48491051556726
EUR_CHF,bullish,15,5,True,2018-10-02 00:00:00,2018-10-02 07:00:00,1.1354137847999999,2018-10-26 14:45:00,1.1354137847999999,SL,0.11,140.7671374871035,0.44,16.452056498452418
GBP_NZD,bullish,15,5,True,2018-10-16 00:00:00,2018-10-17 08:30:00,1.9917213499999997,2018-10-29 07:45:00,1.9592680839000072,SL,0.07,140.8743341371192,0.28,-141.1543341371192
EUR_JPY,bearish,15,5,True,2018-10-24 00:00:00,2018-10-24 00:00:00,128.50550370000002,2018-10-31 01:00:00,128.50550370000002,SL,0.1,138.3246060558256,0.4,16.198952726699073
GBP_NZD,bearish,15,5,True,2018-10-30 00:00:00,2018-10-30 00:00:00,1.96184,2018-10-31 15:30:00,1.96184,SL,0.06,134.9539499657965,0.24,15.954473995895581
EUR_AUD,bullish,15,5,True,2018-10-19 00:00:00,2018-10-19 00:00:00,1.6202921549999998,2018-11-01 00:30:00,1.5934469283755077,SL,0.08,140.8714541371192,0.32,-141.1914541371192
AUD_JPY,bearish,15,5,True,2018-10-02 00:00:00,2018-10-02 08:45:00,80.99558712,2018-11-01 12:15:00,80.99558712,SL,0.13,140.7671374871035,0.52,16.37205649845242
XAG_USD,bearish,15,5,True,2018-10-12 00:00:00,2018-10-12 05:15:00,14.607674846649168,2018-11-01 13:00:00,14.607674846649168,SL,0.09,140.7689266718708,0.36,16.532271200624496
AUD_USD,bearish,15,5,True,2018-09-13 00:00:00,2018-09-13 13:45:00,0.722810387,2018-11-02 04:45:00,0.722810387,SL,0.08,141.8040233394843,0.32,16.696482800738114
AUD_CHF,bearish,15,5,True,2018-09-18 00:00:00,2018-09-27 15:30:00,0.7056169462,2018-11-02 04:45:00,0.7246572335363047,SL,0.07,141.9134819642505,0.28,-142.1934819642505
USD_CAD,bullish,14,4,False,2018-10-22 00:00:00,2018-10-24 14:00:00,1.3062035450999998,2018-11-02 06:45:00,1.3062035450999998,SL,0.11,138.3246060558256,0.44,16.15895272669907
XAG_USD,bearish,15,5,True,2018-11-02 00:00:00,2018-11-02 01:45:00,14.61006875086784,2018-11-02 14:15:00,14.886949703481484,SL,0.1,134.26379009314869,0.4,-134.6637900931487
USD_CHF,bullish,15,5,True,2018-10-26 00:00:00,2018-10-26 20:00:00,0.9967451711999998,2018-11-07 09:45:00,0.9967451711999998,SL,0.11,136.07230853222498,0.44,15.888677023866999
GBP_USD,bearish,15,5,True,2018-11-01 00:00:00,2018-11-01 08:00:00,1.2893116271,2018-11-07 10:15:00,1.3172482684654196,SL,0.05,134.2717100931487,0.2,-134.4717100931487
NZD_CHF,bearish,15,5,True,2018-08-22 00:00:00,2018-11-01 08:45:00,0.6639130137,2018-11-07 15:45:00,0.6779283245354569,SL,0.1,134.2717100931487,0.4,-134.6717100931487
GBP_CAD,bullish,14,4,False,2018-10-16 00:00:00,2018-10-24 07:00:00,1.6958773004999996,2018-11-12 10:00:00,1.6958773004999996,SL,0.05,138.3246060558256,0.2,16.398952726699072
XAG_USD,bearish,15,5,True,2018-11-05 00:00:00,2018-11-05 12:45:00,14.61006875086784,2018-11-12 14:45:00,14.036989088972563,TP3,0.1,131.7652346446321,0.4,217.01263716364278
USD_JPY,bullish,15,5,True,2018-10-16 00:00:00,2018-10-16 05:15:00,112.43058418999999,2018-11-13 00:15:00,113.60122340213216,SL,0.2,140.8743341371192,0.8,161.20548425768726
EUR_NZD,bullish,15,5,True,2018-07-10 00:00:00,2018-11-06 21:45:00,1.7028893261999998,2018-11-13 07:45:00,1.6647872217229611,SL,0.06,132.0667663896405,0.24,-132.3067663896405
GBP_NZD,bearish,15,5,True,2018-11-01 00:00:00,2018-11-01 00:15:00,1.9606626041,2018-11-14 19:15:00,1.9182914558133914,SL,0.06,135.54243318038277,0.24,155.63379815744025
GBP_CAD,bullish,14,4,False,2018-11-13 00:00:00,2018-11-13 00:00:00,1.7039442545999999,2018-11-15 08:45:00,1.7039442545999999,SL,0.06,132.48811305962244,0.24,15.658573567154692
GBP_JPY,bullish,15,5,True,2018-10-16 00:00:00,2018-10-18 17:30:00,145.88400105,2018-11-15 09:00:00,145.88400105,SL,0.05,140.8714541371192,0.2,16.704574496454306
CAD_CHF,bullish,14,4,False,2018-10-09 00:00:00,2018-10-10 23:45:00,0.7569751655999999,2018-11-19 10:15:00,0.7569751655999999,SL,0.08,141.906241830959,0.32,16.70874901971508
USD_CHF,bullish,15,5,True,2018-11-08 00:00:00,2018-11-08 00:00:00,1.0055162081999998,2018-11-19 17:45:00,0.9925682303576518,SL,0.1,129.78690143579863,0.4,-130.18690143579863
CHF_JPY,bearish,15,5,True,2018-10-23 00:00:00,2018-11-07 10:45:00,113.53400137999999,2018-11-21 02:15:00,113.53400137999999,SL,0.11,130.85256099880215,0.44,15.262307319856259
GBP_CAD,bullish,14,4,False,2018-11-16 00:00:00,2018-11-16 00:00:00,1.6869895854,2018-11-27 12:15:00,1.6869895854,SL,0.11,133.52401279588534,0.44,15.58288153550624
